V	C
0	3.559e-11
0.01	3.53713e-11
0.02	3.51542e-11
0.03	3.49386e-11
0.04	3.47245e-11
0.05	3.45119e-11
0.06	3.43009e-11
0.07	3.40913e-11
0.08	3.38831e-11
0.09	3.36765e-11
0.1	3.34712e-11
0.11	3.32675e-11
0.12	3.30651e-11
0.13	3.28642e-11
0.14	3.26646e-11
0.15	3.24665e-11
0.16	3.22698e-11
0.17	3.20743e-11
0.18	3.18803e-11
0.19	3.16876e-11
0.2	3.14963e-11
0.21	3.13063e-11
0.22	3.11176e-11
0.23	3.09301e-11
0.24	3.07441e-11
0.25	3.05592e-11
0.26	3.03757e-11
0.27	3.01934e-11
0.28	3.00123e-11
0.29	2.98326e-11
0.3	2.9654e-11
0.31	2.94768e-11
0.32	2.93009e-11
0.33	2.91259e-11
0.34	2.89522e-11
0.35	2.87797e-11
0.36	2.86084e-11
0.37	2.84383e-11
0.38	2.82694e-11
0.39	2.81016e-11
0.4	2.7935e-11
0.41	2.77693e-11
0.42	2.7605e-11
0.43	2.74416e-11
0.44	2.72795e-11
0.45	2.71184e-11
0.46	2.69584e-11
0.47	2.67996e-11
0.48	2.66417e-11
0.49	2.6485e-11
0.5	2.63294e-11
0.51	2.61747e-11
0.52	2.6021e-11
0.53	2.58686e-11
0.54	2.5717e-11
0.55	2.55665e-11
0.56	2.5417e-11
0.57	2.52685e-11
0.58	2.51213e-11
0.59	2.49746e-11
0.6	2.48291e-11
0.61	2.46846e-11
0.62	2.45409e-11
0.63	2.43984e-11
0.64	2.42569e-11
0.65	2.41161e-11
0.66	2.39762e-11
0.67	2.38375e-11
0.68	2.36995e-11
0.69	2.35624e-11
0.7	2.34264e-11
0.71	2.32913e-11
0.72	2.3157e-11
0.73	2.30235e-11
0.74	2.28909e-11
0.75	2.27595e-11
0.76	2.26287e-11
0.77	2.24987e-11
0.78	2.23697e-11
0.79	2.22415e-11
0.8	2.21141e-11
0.81	2.19878e-11
0.82	2.18619e-11
0.83	2.17371e-11
0.84	2.16133e-11
0.85	2.149e-11
0.86	2.13676e-11
0.87	2.1246e-11
0.88	2.11252e-11
0.89	2.10052e-11
0.9	2.0886e-11
0.91	2.07675e-11
0.92	2.06498e-11
0.93	2.0533e-11
0.94	2.04167e-11
0.95	2.03013e-11
0.96	2.01868e-11
0.97	2.00728e-11
0.98	1.99597e-11
0.99	1.98473e-11
1	1.97357e-11
1.01	1.96247e-11
1.02	1.95144e-11
1.03	1.94047e-11
1.04	1.92959e-11
1.05	1.91878e-11
1.06	1.90805e-11
1.07	1.89738e-11
1.08	1.88678e-11
1.09	1.87623e-11
1.1	1.86578e-11
1.11	1.85538e-11
1.12	1.84502e-11
1.13	1.83475e-11
1.14	1.82457e-11
1.15	1.81443e-11
1.16	1.80436e-11
1.17	1.79436e-11
1.18	1.78439e-11
1.19	1.77454e-11
1.2	1.7647e-11
1.21	1.75495e-11
1.22	1.74526e-11
1.23	1.73562e-11
1.24	1.72605e-11
1.25	1.71655e-11
1.26	1.70707e-11
1.27	1.69771e-11
1.28	1.68838e-11
1.29	1.6791e-11
1.3	1.66991e-11
1.31	1.66074e-11
1.32	1.65164e-11
1.33	1.64259e-11
1.34	1.63364e-11
1.35	1.6247e-11
1.36	1.61581e-11
1.37	1.60704e-11
1.38	1.59826e-11
1.39	1.58956e-11
1.4	1.58088e-11
1.41	1.57234e-11
1.42	1.56378e-11
1.43	1.55529e-11
1.44	1.54689e-11
1.45	1.53847e-11
1.46	1.53014e-11
1.47	1.5219e-11
1.48	1.51367e-11
1.49	1.5055e-11
1.5	1.49738e-11
1.51	1.48931e-11
1.52	1.48127e-11
1.53	1.47332e-11
1.54	1.46537e-11
1.55	1.45752e-11
1.56	1.44968e-11
1.57	1.44192e-11
1.58	1.43417e-11
1.59	1.42649e-11
1.6	1.41886e-11
1.61	1.41128e-11
1.62	1.40374e-11
1.63	1.39626e-11
1.64	1.3888e-11
1.65	1.3814e-11
1.66	1.37406e-11
1.67	1.36672e-11
1.68	1.35948e-11
1.69	1.35226e-11
1.7	1.34507e-11
1.71	1.33794e-11
1.72	1.33088e-11
1.73	1.32381e-11
1.74	1.31681e-11
1.75	1.30985e-11
1.76	1.30292e-11
1.77	1.29607e-11
1.78	1.28924e-11
1.79	1.28243e-11
1.8	1.27568e-11
1.81	1.26898e-11
1.82	1.26232e-11
1.83	1.25567e-11
1.84	1.24908e-11
1.85	1.24254e-11
1.86	1.23604e-11
1.87	1.22957e-11
1.88	1.22314e-11
1.89	1.21676e-11
1.9	1.21039e-11
1.91	1.20408e-11
1.92	1.1978e-11
1.93	1.19156e-11
1.94	1.18535e-11
1.95	1.1792e-11
1.96	1.17308e-11
1.97	1.16699e-11
1.98	1.16092e-11
1.99	1.15492e-11
2	1.14894e-11
2.01	1.143e-11
2.02	1.13708e-11
2.03	1.1312e-11
2.04	1.12538e-11
2.05	1.11956e-11
2.06	1.1138e-11
2.07	1.10806e-11
2.08	1.10235e-11
2.09	1.09671e-11
2.1	1.09107e-11
2.11	1.08547e-11
2.12	1.0799e-11
2.13	1.07437e-11
2.14	1.06887e-11
2.15	1.06339e-11
2.16	1.05795e-11
2.17	1.05256e-11
2.18	1.04717e-11
2.19	1.04182e-11
2.2	1.03654e-11
2.21	1.03124e-11
2.22	1.02601e-11
2.23	1.02079e-11
2.24	1.01558e-11
2.25	1.01045e-11
