V	C
0.1	3.24533e-11
0.11	3.22733e-11
0.12	3.20944e-11
0.13	3.19166e-11
0.14	3.17399e-11
0.15	3.15643e-11
0.16	3.13898e-11
0.17	3.12164e-11
0.18	3.10441e-11
0.19	3.08728e-11
0.2	3.07026e-11
0.21	3.05334e-11
0.22	3.03652e-11
0.23	3.01981e-11
0.24	3.00321e-11
0.25	2.9867e-11
0.26	2.9703e-11
0.27	2.954e-11
0.28	2.93779e-11
0.29	2.92169e-11
0.3	2.90569e-11
0.31	2.88978e-11
0.32	2.87397e-11
0.33	2.85826e-11
0.34	2.84264e-11
0.35	2.82712e-11
0.36	2.8117e-11
0.37	2.79636e-11
0.38	2.78113e-11
0.39	2.76598e-11
0.4	2.75093e-11
0.41	2.73597e-11
0.42	2.7211e-11
0.43	2.70632e-11
0.44	2.69163e-11
0.45	2.67703e-11
0.46	2.66251e-11
0.47	2.64809e-11
0.48	2.63375e-11
0.49	2.6195e-11
0.5	2.60534e-11
0.51	2.59126e-11
0.52	2.57727e-11
0.53	2.56336e-11
0.54	2.54953e-11
0.55	2.53579e-11
0.56	2.52213e-11
0.57	2.50856e-11
0.58	2.49506e-11
0.59	2.48165e-11
0.6	2.46832e-11
0.61	2.45507e-11
0.62	2.44189e-11
0.63	2.4288e-11
0.64	2.41579e-11
0.65	2.40285e-11
0.66	2.38999e-11
0.67	2.37721e-11
0.68	2.3645e-11
0.69	2.35187e-11
0.7	2.33932e-11
0.71	2.32684e-11
0.72	2.31443e-11
0.73	2.3021e-11
0.74	2.28984e-11
0.75	2.27766e-11
0.76	2.26555e-11
0.77	2.25351e-11
0.78	2.24154e-11
0.79	2.22964e-11
0.8	2.21782e-11
0.81	2.20606e-11
0.82	2.19437e-11
0.83	2.18275e-11
0.84	2.17121e-11
0.85	2.15973e-11
0.86	2.14831e-11
0.87	2.13697e-11
0.88	2.12569e-11
0.89	2.11448e-11
0.9	2.10333e-11
0.91	2.09226e-11
0.92	2.08124e-11
0.93	2.07029e-11
0.94	2.05941e-11
0.95	2.04859e-11
0.96	2.03783e-11
0.97	2.02714e-11
0.98	2.0165e-11
0.99	2.00594e-11
1	1.99543e-11
1.01	1.98498e-11
1.02	1.9746e-11
1.03	1.96428e-11
1.04	1.95401e-11
1.05	1.94381e-11
1.06	1.93367e-11
1.07	1.92358e-11
1.08	1.91356e-11
1.09	1.90359e-11
1.1	1.89368e-11
1.11	1.88383e-11
1.12	1.87404e-11
1.13	1.8643e-11
1.14	1.85462e-11
1.15	1.845e-11
1.16	1.83543e-11
1.17	1.82592e-11
1.18	1.81646e-11
1.19	1.80706e-11
1.2	1.79771e-11
1.21	1.78842e-11
1.22	1.77918e-11
1.23	1.76999e-11
1.24	1.76086e-11
1.25	1.75178e-11
1.26	1.74275e-11
1.27	1.73377e-11
1.28	1.72485e-11
1.29	1.71597e-11
1.3	1.70715e-11
1.31	1.69838e-11
1.32	1.68966e-11
1.33	1.68099e-11
1.34	1.67237e-11
1.35	1.6638e-11
